Name,UX Copy Alert
18% of Consumer Products are Non-Compliant with EU Chemical Laws,Alert: Significant non-compliance found in consumer products. EU chemical safety at risk.
4-tert-OPnEO Authorised for Use as an Emulsifier in a Silicone Oil Emulsion,New chemical authorization: 4-tert-OPnEO approved for specific industrial use.
Active Substance No Longer Supported in GB,Attention: Critical active substance loses GB support. Industry impact expected.
Aluminium Ammonium Sulphate Renewed for Plant Protection,Plant protection update: Aluminium Ammonium Sulphate approval extended.
Annual Reporting of PIC Chemicals Exports and Imports for 2023 Now Open,PIC chemical reporting period active. Ensure compliance for 2023 exports/imports.
ANSES Evaluates Tris(4-Nonylphenyl) Phosphite as Environmental Endocrine Disruptor,Environmental alert: Common chemical identified as potential endocrine disruptor.
Aurelia Stiftung Challenges EU Decision on Glyphosate Approval,Legal challenge initiated against EU's glyphosate decision. Potential policy shifts ahead.
Authorisation Granted for Chromates in Electrolytic Tinplate Process,Industrial update: Chromates authorized for specific tinplate manufacturing.
Trichloroethylene Authorised for Biotransformation Process,Limited authorization granted for trichloroethylene in biotechnology applications.
BASF's REACH Tonnage Downgrade Appeal Succeeds,REACH regulation update: BASF wins appeal on chemical tonnage classification.
Biden-Harris Administration Sets National Drinking Water Standard for PFAS,U.S. announces new PFAS limits in drinking water. Widespread impact expected.
Biden-Harris Administration's Landmark Rule Curbs Inactive PFAS,New U.S. regulation targets inactive PFAS. Environmental protection enhanced.
Biofa GmbH vs. European Chemicals Agency: Board of Appeal Decision,ECHA Board of Appeal rules on Biofa GmbH case. Regulatory implications forthcoming.
California's OEHHA Lists Bisphenol S as Reproductive Toxicant,Health alert: California classifies Bisphenol S as reproductive hazard.
Canada Announces New Reporting Requirements for Plastics,Canadian businesses: New plastic reporting mandates announced. Prepare for changes.
Canada Proposes Plastic Products Reporting for 2024-2026,Proposed regulation: Canada to require detailed plastic product reporting.
Canada Proposes Stricter Regulations on PFAS,Canada moves to tighten PFAS regulations. Environmental and health impacts in focus.
"Canada Rescinds Conditions on Ethane, 1,2-dichloro-, Polymer with Ammonia",Regulatory change: Canada lifts restrictions on specific polymer use.
CJEU Mandates Free Access to Harmonized Standards for REACH,EU court ruling: REACH standards must be freely accessible. Industry practice to change.
Colorado Expands Bans on PFAS in Everyday Products,Colorado intensifies PFAS restrictions. Everyday product manufacturers affected.
Companies Pay $1mn Civil Penalties in Alleged Violation of Clean Air Act,Major civil penalties imposed for Clean Air Act violations. Industry compliance in focus.
Consultation on Harmonised Classification and Labelling of Clethodim,Public input sought on classification of herbicide Clethodim. Potential regulatory changes ahead.
CoRAP 2024-2026: A Critical Step Towards Safer Chemical Use in the EU,EU unveils new chemical evaluation plan. Increased scrutiny for selected substances.
Court Rejects Appeal in Cruelty Free Europe's Case Against ECHA,Legal setback for animal testing opponents. ECHA practices upheld by court.
CRD Workshop: Understanding Changes in PPP Risk Assessments,UK updates plant protection product assessments. Industry adaptation required.
Critical Deadlines for Biocide Active Substance Renewals in Great Britain,Urgent: GB biocide renewals due. Act now to maintain market access.
Defra Opens Public Consultations on RoHS Exemptions,UK seeks input on hazardous substance exemptions in electronics. Potential regulatory shifts.
Detailed Overview of the Asbestos Ban under the Biden-Harris Administration,Comprehensive U.S. asbestos ban announced. Wide-ranging industry impact expected.
Draft Community Rolling Action Plan (CoRAP) Update for 2024-2026,EU chemical evaluation priorities released. Affected industries should prepare.
DSM Nutritional Products GmbH Challenges European Chemicals Agency's Decision,Legal challenge to ECHA decision filed. Potential implications for chemical regulations.
ECCA Challenges General Court's Decision on Plant Protection Products,Industry association contests EU court ruling. Plant protection regulations under scrutiny.
ECHA Awards Contract for New Approach Methodologies (NAM),ECHA invests in alternative testing methods. Shift in chemical safety assessment approaches.
ECHA Board of Appeal Dismisses Jungbunzlauer Ladenburg GmbH's Appeal,ECHA decision upheld in Jungbunzlauer case. Regulatory interpretation clarified.
ECHA Board of Appeal Overturns Agency's Decision in Chemical Mutagenicity Case,Significant reversal in chemical mutagenicity case. ECHA practices questioned.
ECHA Evaluates Regulatory Needs for Hydroxyphenyl Benzotriazoles,UV stabilizers under regulatory review. Potential restrictions on horizon.
ECHA Evaluates Regulatory Needs for Polyphenylalkanes_alkenes,Industrial chemicals face scrutiny. New regulations possible for polyphenylalkanes/alkenes.
